name,rank,functions,structural_material,status,city,city_locode,start,completed,floors_above,height,longitude,latitude,dem
1410 Broadway,1166,office,steel,COM,New York City,NYC,1930,1931,35,124.3600006104,-73.9867706299,40.7531890869,
1410 North State Parkway,2177,residential,concrete,COM,Chicago,CHI,,1981,26,78,-87.6292114258,41.908290863,
1412 Broadway,1320,office,steel,COM,New York City,NYC,,1927,25,117.9599990845,-73.986579895,40.7536697388,
1418 North Lake Shore Drive,1989,residential,concrete,COM,Chicago,CHI,1980,1983,29,89,-87.626411438,41.9083709717,
1440 Broadway,1883,office,steel,COM,New York City,NYC,,1925,25,94.1800003052,-73.9865722656,40.7544212341,
1441 Broadway,1213,office,steel,COM,New York City,NYC,1928,1930,33,122.1999969482,-73.987197876,40.754989624,
1450 Brickell,640,office,concrete,COM,Miami,MIA,2007,2010,34,152.5299987793,-80.1930007935,25.7586307526,
15 Hudson Yards,47,residential,concrete,UC,New York City,NYC,2014,2018,70,278.5799865723,-74.0028991699,40.753528595,
150 California Street,1750,office,steel,COM,San Francisco,SFO,1998,1999,23,100.5800018311,-122.3985214233,37.7937088013,
150 North Riverside,136,office,composite,UCT,Chicago,CHI,2014,2017,53,221.0700073242,-87.6386032104,41.8851394653,
1500 Louisiana Street,316,office,steel,COM,Houston,HOU,1999,2002,40,182.8800048828,-95.3712997437,29.7544898987,
1500 Post Oak Boulevard,749,office,concrete,UCT,Houston,HOU,2014,2016,30,145.3399963379,-95.4609069824,29.7523097992,
1515 Tower,1820,residential,concrete,DEM,West Palm Beach,PBI,,1974,30,97.5400009155,-82.7725,27.98227,2010
155 North Wacker,235,office,composite,COM,Chicago,CHI,2007,2009,45,194.5700073242,-87.6364898682,41.8847198486,
1550 North Lake Shore Drive Apartments,1666,residential,concrete,COM,Chicago,CHI,1958,1960,34,103,-87.6267929077,41.9110298157,
1555 North Astor,1022,residential,concrete,COM,Chicago,CHI,,1975,48,130.5599975586,-87.6273193359,41.9110183716,
15th and Island Tower 1,738,residential,concrete,UC,San Diego,SAN,2013,2016,45,146,-117.1499176025,32.7101898193,
160 East 22nd Street,2256,residential,concrete,COM,New York City,NYC,2013,2014,21,70.4000015259,-73.9840393066,40.7381095886,
160 Madison Avenue,736,residential,concrete,COM,New York City,NYC,2013,2015,42,146.3000030518,-73.9838485718,40.7469711304,
160 Massachusetts Avenue,2289,residential \/ education,steel,COM,Boston,BOS,2012,2014,16,65.9100036621,-71.0868835449,42.3462600708,
160 Riverside Boulevard at Trump Place,1544,residential,concrete,COM,New York City,NYC,,2001,33,107.9000015259,-73.9884719849,40.777721405,
1600 Museum Park,1524,residential,concrete,COM,Chicago,CHI,2007,2009,32,108.9000015259,-87.6203308105,41.8594818115,
1600 Smith Street,129,office,steel,COM,Houston,HOU,,1984,55,223.1199951172,-95.3727035522,29.7544002533,
165 Castleton Park Tower,2340,residential,concrete,COM,New York City,NYC,,1976,20,56.4000015259,-74.0805969238,40.6462898254,
165 West Superior Street,1526,residential,concrete,UC,Chicago,CHI,2015,2017,34,108.8099975586,-87.6334075928,41.8953704834,
167 West Erie Street,1005,residential,concrete,UC,Chicago,CHI,2016,2017,39,131.1000061035,-87.6337966919,41.8936805725,
1683 Third Avenue,2399,residential,concrete,UC,New York City,NYC,2016,,23,,-73.949836731,40.7840118408,
17 State Street,474,office,steel,COM,New York City,NYC,,1988,41,165.25,-74.0139465332,40.7028312683,
170 Amsterdam Avenue,2286,residential,concrete,COM,New York City,NYC,2012,2014,20,66.1699981689,-73.9839706421,40.7759513855,
1700 Broadway,506,office,steel,COM,New York City,NYC,,1969,41,162.4600067139,-73.9822692871,40.7635803223,
1700 East 56th Street,1395,residential,concrete,COM,Chicago,CHI,,1968,38,114.6100006104,-87.5833587646,41.7936515808,
1700 Market Street,1016,office,concrete,COM,Philadelphia,PHL,,1968,32,131,-75.1690673828,39.9527511597,
172 Montague Street,2356,residential,concrete,COM,New York City,NYC,,2015,19,52.3600006104,-73.9921722412,40.6939888,
1720 South Michigan,1454,residential,concrete,COM,Chicago,CHI,2006,2008,32,112.2200012207,-87.6242599487,41.8586196899,
177 Huntington,1470,office,concrete,COM,Boston,BOS,,1973,28,111.8600006104,-71.0827713013,42.3449401855,
18 West 56th Street,2330,hotel,concrete,UCT,New York City,NYC,2014,2016,16,59.75,-73.9757995605,40.7626304626,
180 Montague Street,1729,residential,concrete,COM,New York City,NYC,,2000,33,100.8799972534,-73.9919967651,40.6939582825,
180 North LaSalle,984,office,concrete,COM,Chicago,CHI,1971,1972,37,132.5800018311,-87.6329269409,41.8853416443,
180 Riverside Boulevard at Trump Place,1078,residential,concrete,COM,New York City,NYC,,1998,40,128.5700073242,-73.9881896973,40.7784805298,
1800 Club,1066,residential,concrete,COM,Miami,MIA,2004,2007,40,129.0500030518,-80.186920166,25.793970108,
1800 Ninth Avenue,2246,office,steel,COM,Seattle,SEA,,1990,16,72,-122.3332672119,47.6153297424,
1801 California Plaza,151,office,steel,COM,Denver,DEN,,1982,52,216.1100006104,-104.9897766113,39.7476615906,
181 Fremont,78,residential \/ office,steel,UC,San Francisco,SFO,2014,2017,54,244.4499969482,-122.3951568604,37.7897491455,
181 West Madison,182,office,composite,COM,Chicago,CHI,1988,1990,50,207.2700042725,-87.6334228516,41.8816108704,
1812 North Moore Street,1322,office,concrete,COM,Arlington,ARP,2011,2014,30,117.8099975586,-77.0720367432,38.8964614868,
1818 Market Street,645,office,steel,COM,Philadelphia,PHL,,1974,40,152.3999938965,-75.171043396,39.9529495239,
1835 Market Street,1052,office,steel,COM,Philadelphia,PHL,1985,1986,29,129.5399932861,-75.1711273193,39.9536781311,
185 Castleton Park Tower,2306,residential,concrete,COM,New York City,NYC,,1976,20,63.2999992371,-74.0797424316,40.6456413269,
190 South LaSalle,377,office,steel,COM,Chicago,CHI,1985,1987,40,174.6499938965,-87.6327819824,41.8797302246,
191 North Wacker Drive,567,office,composite,COM,Chicago,CHI,2000,2002,37,157.4100036621,-87.6366500854,41.8853492737,
191 Peachtree Tower,97,office,composite,COM,Atlanta,ATL,,1992,50,234.6999969482,-84.3866882324,33.7589416504,
195 Broadway,1075,office,steel,COM,New York City,NYC,1913,1922,29,128.6300048828,-74.0096969604,40.7109718323,
1N4th,1245,residential,concrete,COM,New York City,NYC,2012,2015,41,121.3000030518,-73.9649734497,40.7197494507,
1st Tennessee Bank Building,1719,office,steel,COM,Memphis,MEM,1961,1964,25,101.1999969482,-90.0508575439,35.1442604065,
2 Columbus,1087,residential,concrete,COM,New York City,NYC,1996,1998,41,128.0200042725,-73.9849700928,40.76953125,
2 East Erie,1127,residential,concrete,COM,Chicago,CHI,2000,2002,39,126.4899978638,-87.6278381348,41.8943099976,
2 East Oak Street,1511,residential,concrete,COM,Chicago,CHI,,1967,39,109.6999969482,-87.6279678345,41.9008903503,
2 Empire State Plaza,1872,government,steel,COM,Albany,ALB,,1973,23,94.4899978638,-73.760269165,42.6510505676,
2 Gold Street,471,residential,concrete,COM,New York City,NYC,2003,2005,51,165.5,-74.0069885254,40.7072906494,
2 North 6th Place,1246,residential,concrete,UCT,New York City,NYC,2014,2016,40,121.3000030518,-73.9633102417,40.7206993103,
2 Wall Street,1736,office,steel,COM,New York City,NYC,1932,1933,22,100.5999984741,-74.0112686157,40.7077789307,
2 World Trade Center,10,office,composite,NC,New York City,NYC,2010,,79,411,-74.0112686157,40.7121391296,
20 Broad Street,1300,office,steel,COM,New York City,NYC,1955,1956,23,118.8700027466,-74.0113983154,40.7066192627,
20 Pine,665,residential,steel,COM,New York City,NYC,1926,1928,38,151,-74.0097579956,40.7076797485,
200 Carondelet,1735,residential,steel,COM,New Orleans,MSY,1928,1929,23,100.5999984741,-90.0707931519,29.9524803162,
200 Chambers Street,1948,residential,concrete,COM,New York City,NYC,2005,2007,29,91.0999984741,-74.0125198364,40.71667099,
200 Clarendon,82,office,steel,COM,Boston,BOS,1972,1976,62,240.7899932861,-71.0751037598,42.349319458,
200 East Delaware,1679,residential,concrete,COM,Chicago,CHI,,1972,36,102.4100036621,-87.6214294434,41.899471283,
200 Eleventh Avenue,2118,residential,concrete,COM,New York City,NYC,2007,2010,19,81.4000015259,-74.0064468384,40.7493209839,
200 Madison Avenue,1335,office,steel,COM,New York City,NYC,1923,1926,25,117.3499984741,-73.982749939,40.7489891052,
200 North Dearborn Apartments,816,residential,concrete,COM,Chicago,CHI,1987,1989,47,141.0700073242,-87.6298522949,41.886051178,
200 Public Square,205,office,steel,COM,Cleveland,CLE,1982,1985,46,200.5599975586,-81.6915817261,41.5001182556,
200 Riverside Boulevard At Trump Place,683,residential,concrete,COM,New York City,NYC,,1999,46,149.8099975586,-73.9878005981,40.7792015076,
200 South Wacker,651,office,concrete,COM,Chicago,CHI,1979,1981,41,152.3000030518,-87.6375274658,41.8790016174,
200 Squared,904,residential,concrete,COM,Chicago,CHI,2008,2010,42,136.8600006104,-87.634262085,41.8860092163,
201 Pearl Street,1888,residential,concrete,COM,New York City,NYC,,2009,28,94,-74.006690979,40.70703125,
2020 North Lincoln Park West,1081,residential,concrete,COM,Chicago,CHI,,1971,39,128.3200073242,-87.6369628906,41.9188194275,
203 East 92nd Street,1054,residential \/ education,concrete,UC,New York City,NYC,2014,2016,36,129.5,-73.9503707886,40.7827186584,
21 West End Avenue,525,residential,concrete,UC,New York City,NYC,2014,2017,45,161.1999969482,-73.9903717041,40.772819519,
210 Trade,303,residential,concrete,NC,Charlotte,CLT,2006,,53,183.2599945068,-80.8450012207,35.229309082,
2101 South Michigan,2183,residential,concrete,COM,Chicago,CHI,1970,1971,26,77.75,-87.6234130859,41.8540000916,
2116 Chestnut,1531,residential,concrete,COM,Philadelphia,PHL,2012,2013,34,108.5,-75.1765899658,39.9521713257,
212 South Meramec,1372,residential,concrete,UC,Clayton,CJD,2015,2016,27,115.75,-90.3395996094,38.6480484009,
215 West,601,residential,concrete,COM,Chicago,CHI,2008,2010,50,155.0599975586,-87.634552002,41.8830299377,
215 West Lake,1585,residential,concrete,UC,Chicago,CHI,2016,2018,33,106.169998169,-87.6345901489,41.8855018616,
218 West 35th Street,1000,hotel,concrete,COM,New York City,NYC,2013,2015,39,131.669998169,-73.9910507202,40.7518005371,
219 East 44th Street,1126,residential \/ hotel,concrete,UCT,New York City,NYC,2014,2016,35,126.5,-73.9723587036,40.7518386841,
22 Skyview,2022,residential,concrete,COM,Miami,MIA,2012,2013,31,87.1999969482,-80.1873016357,25.79845047,
22 West Washington,2070,office,composite,COM,Chicago,CHI,2006,2008,17,84.0999984741,-87.6288299561,41.883518219,
220 Riverside Boulevard At Trump Place,473,residential,concrete,COM,New York City,NYC,2001,2003,49,165.2599945068,-73.9874420166,40.779548645,
220 West 41st Street,1717,hotel,concrete,COM,New York City,NYC,2013,2015,30,101.1999969482,-73.9885864258,40.7556304932,
221 West 29th Street,2300,residential,concrete,UC,New York City,NYC,2014,2017,21,64.0100021362,-73.9936981201,40.7483787537,
222 2nd Avenue South,1785,residential,concrete,UC,Nashville,NSH,2016,2018,26,99.3700027466,-86.7733306885,36.159538269,
222 East 40th Street,1270,residential,concrete,UC,New York City,NYC,2015,2017,36,120.4000015259,-73.9744567871,40.7487792969,
222 Second Street,1440,office,steel\/concrete,COM,San Francisco,SFO,,2015,26,112.7799987793,-122.3982467651,37.7863388062,
225 Bush Street,1765,office,steel,COM,San Francisco,SFO,,1922,22,100,-122.4011535645,37.7908592224,
225 Franklin Street,748,office,steel,COM,Boston,BOS,,1966,33,145.3899993897,-71.0537414551,42.356010437,
225 West Wacker,990,office,concrete,COM,Chicago,CHI,1987,1989,28,132,-87.6351089478,41.8863716125,
23-10 Queens Plaza South,733,residential,concrete,STO,New York City,NYC,2014,2017,44,146.6000061035,-73.9422988892,40.7505683899,
230 Park Avenue,396,office,steel,COM,New York City,NYC,,1928,35,172.2100067139,-73.9759216309,40.7544288635,
230 Peachtree Building,1346,office,steel,COM,Atlanta,ATL,,1965,29,116.4400024414,-84.3880615234,33.7602386475,
235 West Van Buren,690,residential,concrete,COM,Chicago,CHI,2007,2010,46,149.4100036621,-87.6346969604,41.8765792847,
240 Riverside Boulevard at Trump Place,1491,residential,concrete,COM,New York City,NYC,,2004,31,110.3799972534,-73.987159729,40.7802696228,
245 Park Avenue,218,office,steel,COM,New York City,NYC,,1967,47,197.5099945068,-73.9748916626,40.7546386719,
250 West 55th Street,302,office,steel,COM,New York City,NYC,2008,2013,40,183.4299926758,-73.9836196899,40.7650299072,
250 West Pratt Street,1510,office,steel,COM,Baltimore,BAL,,1986,24,109.7300033569,-76.6187667847,39.2867012024,
2500 North Lakeview,1706,residential,concrete,COM,Chicago,CHI,1973,1974,35,101.5,-87.6395187378,41.9282798767,
252 East 57th Street,147,residential,concrete,STO,New York City,NYC,2014,2017,65,217.9299926758,-73.9658966064,40.7591094971,
255 East 74th Street,1668,residential,concrete,COM,New York City,NYC,2007,2009,30,103,-73.9575500488,40.7704391479,
2555 Grand Avenue,1599,office,steel,COM,Kansas City,MKC,,2003,24,105.8000030518,-94.5824279785,39.0798912048,
26 Broadway,557,office,steel,COM,New York City,NYC,1922,1924,31,158.5,-74.0130081177,40.705291748,
27 on 27th,1898,residential,concrete,COM,New York City,NYC,,2011,27,93.5999984741,-73.9400482178,40.7494506836,
270 Broadway,1723,office,steel,COM,New York City,NYC,,1930,28,101.1900024414,-74.0069122314,40.7143096924,
270 West 39th Street,2250,office,steel,COM,New York City,NYC,1925,1926,20,71.3199996948,-73.9909210205,40.7550086975,
2727 Kirby,1183,residential,concrete,COM,Houston,HOU,2006,2009,30,123.4499969482,-95.4182891846,29.7410297394,
277 Park Avenue,173,office,steel,COM,New York City,NYC,1958,1963,50,209.3999938965,-73.974571228,40.7554092407,
28 Liberty,74,office \/ retail,steel,COM,New York City,NYC,1957,1961,60,247.8099975586,-74.0090484619,40.7078208923,
28 on 28th,222,residential,concrete,UCT,New York City,NYC,2014,2017,58,196.8999938965,-73.9396286011,40.7495613098,
28 State Street,645,office,steel,COM,Boston,BOS,,1970,40,152.3999938965,-71.0573730469,42.3593788147,
28-10 Jackson Avenue,616,residential,concrete,UC,New York City,NYC,2015,2018,44,153.6199951172,-73.9379196167,40.7483901978,
28-34 Jackson Avenue,330,residential,concrete,UC,New York City,NYC,2015,2018,53,179.8300018311,-73.9385375977,40.7481498718,
2800 North Lake Shore Drive,1421,residential,concrete,COM,Chicago,CHI,1967,1968,43,113.4000015259,-87.6371536255,41.9331283569,
2828 Peachtree Luxury Condominiums,1098,residential,concrete,COM,Atlanta,ATL,,2002,33,127.8700027466,-84.3854064941,33.8330612183,
29 Park Madison,1609,residential,concrete,COM,New York City,NYC,2006,2008,34,105.1999969482,-73.98412323,40.7443695068,
29-07 Queens Plaza North,1758,residential \/ hotel,concrete,COM,New York City,NYC,2013,2015,31,100,-73.9373092651,40.7500991821,
292 Madison Avenue,1753,office,steel,COM,New York City,NYC,,1923,25,100.3000030518,-73.9802093506,40.7521095276,
2929 Weslayan,504,residential,concrete,COM,Houston,HOU,2013,2015,40,162.5,-95.4411697388,29.7386608124,
2950 North Sheridan Road,2294,residential,concrete,UC,Chicago,CHI,2015,,19,65.1999969482,-87.6398468018,41.9359016418,
299 Fremont,1937,residential,concrete,COM,San Francisco,SFO,2014,2016,25,91.4400024414,-122.3936462402,37.7884292603,
